+ [https://www.spinics.net/lists/linux-leds/msg12590.html][PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
o [https://www.spinics.net/lists/linux-leds/msg12606.html]Re: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Rafael J. Wysocki
# [https://www.spinics.net/lists/linux-leds/msg12607.html]Re: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
@ [https://www.spinics.net/lists/linux-leds/msg12609.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
- [https://www.spinics.net/lists/linux-leds/msg12617.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
= [https://www.spinics.net/lists/linux-leds/msg12624.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
* [https://www.spinics.net/lists/linux-leds/msg12625.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
+ [https://www.spinics.net/lists/linux-leds/msg12629.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
+ [https://www.spinics.net/lists/linux-leds/msg12630.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
+ [https://www.spinics.net/lists/linux-leds/msg12631.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
+ [https://www.spinics.net/lists/linux-leds/msg12632.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
o [https://www.spinics.net/lists/linux-leds/msg12634.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
# [https://www.spinics.net/lists/linux-leds/msg12635.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Moore, Robert
@ [https://www.spinics.net/lists/linux-leds/msg12636.html]RE: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Nikolaus Voss
- [https://www.spinics.net/lists/linux-leds/msg12646.html]Re: [PATCH v2 1/3] ACPI: Resolve objects on host-directed table loads, Rafael J. Wysocki
+ [https://www.spinics.net/lists/linux-leds/msg12592.html][PATCH v2 2/3] PWM framework: add support referencing PWMs from ACPI, Nikolaus Voss
+ [https://www.spinics.net/lists/linux-leds/msg12593.html][PATCH v2 3/3] leds-pwm.c: support ACPI via firmware-node framework, Nikolaus Voss
